latitude,longitude,population
18.5101389,-98.6101389,6.364341
18.5084722,-98.6118056,6.364341
18.5101389,-98.6104167,6.364341
18.5098611,-98.6093056,6.364341
18.5173611,-98.6054167,6.364341
18.5176389,-98.6056944,6.364341
18.5095833,-98.61125,6.364341
18.5126389,-98.6070833,6.364341
18.5143056,-98.6056944,6.364341
18.5184722,-98.6065278,6.364341
18.5090278,-98.6106944,6.364341
18.5145833,-98.60625,6.364341
18.5123611,-98.6081944,6.364341
18.5170833,-98.6048611,6.364341
18.5120833,-98.6073611,6.364341
18.5168056,-98.6056944,6.364341
18.5148611,-98.6056944,6.364341
18.5095833,-98.6095833,6.364341
18.51625,-98.6043056,6.364341
18.5145833,-98.6065278,6.364341
18.5179167,-98.6056944,6.364341
18.5148611,-98.60625,6.364341
18.5123611,-98.6073611,6.364341
18.5154167,-98.6051389,6.364341
18.5148611,-98.6059722,6.364341
18.5165278,-98.6068056,6.364341
18.5154167,-98.6045833,6.364341
18.5168056,-98.6040278,6.364341
18.51625,-98.60625,6.364341
18.5079167,-98.6115278,6.364341
18.5159722,-98.6043056,6.364341
18.51125,-98.6090278,6.364341
18.5093056,-98.6104167,6.364341
18.5151389,-98.6051389,6.364341
18.5123611,-98.6079167,6.364341
18.5079167,-98.6126389,6.364341
18.5104167,-98.6093056,6.364341
18.5123611,-98.6070833,6.364341
18.51625,-98.6059722,6.364341
18.5090278,-98.6118056,6.364341
18.5156944,-98.6059722,6.364341
18.5090278,-98.6115278,6.364341
18.5126389,-98.6079167,6.364341
18.5079167,-98.6123611,6.364341
18.5154167,-98.6059722,6.364341
18.5179167,-98.6065278,6.364341
18.5179167,-98.6054167,6.364341
18.5098611,-98.6095833,6.364341
18.5145833,-98.6059722,6.364341
18.5131944,-98.6073611,6.364341
18.50875,-98.6104167,6.364341
18.5093056,-98.6101389,6.364341
18.5165278,-98.6051389,6.364341
18.5118056,-98.6084722,6.364341
18.5076389,-98.6131944,6.364341
18.5165278,-98.6040278,6.364341
18.5115278,-98.6084722,6.364341
18.5095833,-98.6104167,6.364341
18.5095833,-98.6106944,6.364341
18.50875,-98.6115278,6.364341
18.5140278,-98.6065278,6.364341
18.5159722,-98.6048611,6.364341
18.5168056,-98.60375,6.364341
18.5148611,-98.6051389,6.364341
18.5156944,-98.60625,6.364341
18.51125,-98.60875,6.364341
18.5134722,-98.6070833,6.364341
18.5093056,-98.6115278,6.364341
18.5170833,-98.6054167,6.364341
18.5168056,-98.6054167,6.364341
18.5170833,-98.6065278,6.364341
18.5165278,-98.6043056,6.364341
18.5170833,-98.6040278,6.364341
18.5154167,-98.6048611,6.364341
18.5134722,-98.6073611,6.364341
18.5118056,-98.6081944,6.364341
18.5101389,-98.6098611,6.364341
18.5145833,-98.6054167,6.364341
18.5173611,-98.6045833,6.364341
18.5156944,-98.6056944,6.364341
18.5098611,-98.6101389,6.364341
18.5168056,-98.6051389,6.364341
18.5176389,-98.6065278,6.364341
18.5173611,-98.60625,6.364341
18.5168056,-98.6045833,6.364341
18.5156944,-98.6048611,6.364341
18.5084722,-98.6115278,6.364341
18.50875,-98.61125,6.364341
18.51375,-98.6068056,6.364341
18.5148611,-98.6054167,6.364341
18.51625,-98.6065278,6.364341
18.5079167,-98.6129167,6.364341
18.5140278,-98.6068056,6.364341
18.5184722,-98.60625,6.364341
18.5081944,-98.6118056,6.364341
18.5143056,-98.6059722,6.364341
18.5079167,-98.6118056,6.364341
18.5131944,-98.6065278,6.364341
18.5081944,-98.6126389,6.364341
18.5159722,-98.6065278,6.364341
18.5181944,-98.6059722,6.364341
18.5098611,-98.6098611,6.364341
18.51625,-98.6045833,6.364341
18.5156944,-98.6051389,6.364341
18.5095833,-98.6109722,6.364341
18.51375,-98.6065278,6.364341
18.5170833,-98.60625,6.364341
18.5159722,-98.6054167,6.364341
18.5109722,-98.6090278,6.364341
18.51625,-98.6048611,6.364341
18.5090278,-98.6109722,6.364341
18.5165278,-98.6065278,6.364341
18.5170833,-98.6056944,6.364341
18.5126389,-98.6076389,6.364341
18.51375,-98.6070833,6.364341
18.5168056,-98.6059722,6.364341
18.5151389,-98.6054167,6.364341
18.5131944,-98.6070833,6.364341
18.5165278,-98.6054167,6.364341
18.5098611,-98.6104167,6.364341
18.50875,-98.6120833,6.364341
18.5159722,-98.6045833,6.364341
18.5176389,-98.60625,6.364341
18.5168056,-98.6048611,6.364341
18.5170833,-98.6051389,6.364341
18.5173611,-98.6048611,6.364341
18.5165278,-98.6045833,6.364341
18.5129167,-98.6073611,6.364341
18.5179167,-98.60625,6.364341
18.5081944,-98.6120833,6.364341
18.5129167,-98.6068056,6.364341
18.5159722,-98.6056944,6.364341
18.5168056,-98.6065278,6.364341
18.5159722,-98.6059722,6.364341
18.5179167,-98.6070833,6.364341
19.5206944,-99.2284722,8.393051
19.5184722,-99.2284722,8.393051
19.5184722,-99.2279167,8.393051
19.5198611,-99.22375,8.393051
19.5190278,-99.2256944,8.393051
19.5190278,-99.2245833,8.393051
19.5190278,-99.2298611,8.393051
19.5204167,-99.2248611,8.393051
19.5195833,-99.22875,8.393051
19.5181944,-99.2293056,8.393051
19.52125,-99.2273611,8.393051
19.5201389,-99.2254167,8.393051
19.5201389,-99.2240278,8.393051
19.5181944,-99.2298611,8.393051
19.5193056,-99.2265278,8.393051
19.5204167,-99.2290278,8.393051
19.5198611,-99.2290278,8.393051
19.5190278,-99.2234722,8.393051
19.5184722,-99.2259722,8.393051
19.5201389,-99.2251389,8.393051
19.5206944,-99.2279167,8.393051
19.5198611,-99.22875,8.393051
19.51875,-99.2254167,8.393051
19.5206944,-99.22625,8.393051
19.5190278,-99.2254167,8.393051
19.5193056,-99.2295833,8.393051
19.5193056,-99.2290278,8.393051
19.51875,-99.2234722,8.393051
19.5195833,-99.2259722,8.393051
19.5204167,-99.22625,8.393051
19.5190278,-99.2251389,8.393051
19.5201389,-99.2256944,8.393051
19.5193056,-99.2245833,8.393051
19.5201389,-99.2259722,8.393051
19.51875,-99.2284722,8.393051
19.5206944,-99.2276389,8.393051
19.5181944,-99.2273611,8.393051
19.5193056,-99.2248611,8.393051
19.5201389,-99.2276389,8.393051
19.5201389,-99.2248611,8.393051
19.5184722,-99.2298611,8.393051
19.5181944,-99.2301389,8.393051
19.51875,-99.2256944,8.393051
19.5198611,-99.2248611,8.393051
19.51875,-99.2243056,8.393051
19.5198611,-99.2284722,8.393051
19.5201389,-99.2245833,8.393051
19.5198611,-99.2234722,8.393051
19.51875,-99.2293056,8.393051
19.5184722,-99.2245833,8.393051
19.51875,-99.2248611,8.393051
19.5184722,-99.2301389,8.393051
19.5184722,-99.22875,8.393051
19.5198611,-99.2254167,8.393051
19.5181944,-99.2290278,8.393051
19.5193056,-99.2256944,8.393051
19.5184722,-99.2268056,8.393051
19.5195833,-99.2254167,8.393051
19.5204167,-99.2240278,8.393051
19.5184722,-99.2254167,8.393051
19.5198611,-99.2259722,8.393051
19.5190278,-99.2268056,8.393051
19.5198611,-99.2268056,8.393051
19.5184722,-99.2290278,8.393051
19.5181944,-99.2304167,8.393051
19.5181944,-99.2295833,8.393051
19.5181944,-99.2284722,8.393051
19.5193056,-99.2276389,8.393051
19.5198611,-99.2243056,8.393051
19.5184722,-99.2281944,8.393051
19.5206944,-99.2268056,8.393051
19.5198611,-99.22625,8.393051
19.5190278,-99.2276389,8.393051
19.5209722,-99.2279167,8.393051
19.51875,-99.2245833,8.393051
19.5190278,-99.2240278,8.393051
19.5204167,-99.2273611,8.393051
